,sample_id,pdb_id,protein_path,ligand_path
0,2zy1,2zy1,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2zy1/2zy1_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2zy1/2zy1_ligand.sdf
1,2xbv,2xbv,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2xbv/2xbv_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2xbv/2xbv_ligand.sdf
2,3arv,3arv,/storage/ice1/7/3/awallace43/CASF-2016/coreset/3arv/3arv_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/3arv/3arv_ligand.sdf
3,2xnb,2xnb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2xnb/2xnb_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2xnb/2xnb_ligand.sdf
4,1owh,1owh,/storage/ice1/7/3/awallace43/CASF-2016/coreset/1owh/1owh_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/1owh/1owh_ligand.sdf
5,4agp,4agp,/storage/ice1/7/3/awallace43/CASF-2016/coreset/4agp/4agp_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/4agp/4agp_ligand.sdf
6,1o3f,1o3f,/storage/ice1/7/3/awallace43/CASF-2016/coreset/1o3f/1o3f_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/1o3f/1o3f_ligand.sdf
7,2v7a,2v7a,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2v7a/2v7a_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2v7a/2v7a_ligand.sdf
8,2ymd,2ymd,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2ymd/2ymd_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2ymd/2ymd_ligand.sdf
9,3rlr,3rlr,/storage/ice1/7/3/awallace43/CASF-2016/coreset/3rlr/3rlr_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/3rlr/3rlr_ligand.sdf
10,4j28,4j28,/storage/ice1/7/3/awallace43/CASF-2016/coreset/4j28/4j28_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/4j28/4j28_ligand.sdf
11,4ddh,4ddh,/storage/ice1/7/3/awallace43/CASF-2016/coreset/4ddh/4ddh_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/4ddh/4ddh_ligand.sdf
12,1o0h,1o0h,/storage/ice1/7/3/awallace43/CASF-2016/coreset/1o0h/1o0h_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/1o0h/1o0h_ligand.sdf
13,4eo8,4eo8,/storage/ice1/7/3/awallace43/CASF-2016/coreset/4eo8/4eo8_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/4eo8/4eo8_ligand.sdf
14,1pxn,1pxn,/storage/ice1/7/3/awallace43/CASF-2016/coreset/1pxn/1pxn_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/1pxn/1pxn_ligand.sdf
15,2yfe,2yfe,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2yfe/2yfe_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2yfe/2yfe_ligand.sdf
16,2wbg,2wbg,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2wbg/2wbg_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2wbg/2wbg_ligand.sdf
17,1eby,1eby,/storage/ice1/7/3/awallace43/CASF-2016/coreset/1eby/1eby_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/1eby/1eby_ligand.sdf
18,3aru,3aru,/storage/ice1/7/3/awallace43/CASF-2016/coreset/3aru/3aru_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/3aru/3aru_ligand.sdf
19,4de1,4de1,/storage/ice1/7/3/awallace43/CASF-2016/coreset/4de1/4de1_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/4de1/4de1_ligand.sdf
20,3oe5,3oe5,/storage/ice1/7/3/awallace43/CASF-2016/coreset/3oe5/3oe5_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/3oe5/3oe5_ligand.sdf
21,2fxs,2fxs,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2fxs/2fxs_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2fxs/2fxs_ligand.sdf
22,2brb,2brb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2brb/2brb_protein.pdb,/storage/ice1/7/3/awallace43/CASF-2016/coreset/2brb/2brb_ligand.sdf
